Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::Start Date Promo,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
1010,23593,zzz,123,TP1,11/1/2017,11/30/2017,79.99,30,1,49.99,8701.9464,2564.224681,10084.31114,3120,3975.648696,5552.887126,2,136,169,104,104,136,208,H2,Q3,104515,2,2
1010,23594,zzz,123,TP1,11/1/2017,11/30/2017,79.99,37,1,42.99,6142.5504,1810.040951,7118.337276,2442,2806.340256,3680.037972,2,96,50,66,66,96,208,H2,Q3,104516,2,2
1010,23599,zzz,123,TP1,11/1/2017,11/30/2017,79.99,35,1,44.99,9021.8709,2658.497647,10455.05787,0,5770.537151,7343.01837,1,141,,0,0,141,208,H2,Q3,104517,1,1
1010,23600,zzz,123,TP1,11/1/2017,11/30/2017,79.99,44,1,35.99,20987.0472,6184.306583,24320.98569,0,13423.66089,17081.63139,1,328,,0,0,328,208,H2,Q3,104518,1,1
1010,23593,zzz,123,TP1,11/1/2017,11/30/2017,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,208,H2,Q3,106061,2,2
1010,23593,zzz,123,TP1,11/1/2017,11/30/2017,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,208,H2,Q3,106062,2,2
1010,17031,zzz,123,TP1,7/1/2017,7/31/2017,79.99,30,1,49.99,0,0,0,1140,0,-1140,4,,,38,38,,204,H1,Q2,106123,4,4
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,1343.6829,395.9464581,1557.136279,1830,613.886931,-490.8041937,3,21,,61,61,21,209,H2,Q3,109128,3,3
1010,34726,zzz,123,TP1,12/1/2017,12/31/2017,79.99,37,1,42.99,3071.2752,905.0204756,3559.168638,0,1403.170128,3061.018986,3,48,,0,0,48,209,H2,Q3,109129,3,3
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,0,0,0,4380,0,-4380,4,0,,146,146,0,209,H2,Q3,109130,4,4
1010,34726,zzz,123,TP1,12/1/2017,12/31/2017,79.99,37,1,42.99,0,0,0,0,0,0,4,0,,,0,0,209,H2,Q3,109131,4,4
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,7614.2031,2243.696596,8823.772249,3060,3478.692609,4528.776236,2,119,120,102,102,119,209,H2,Q3,109132,2,2
1010,34726,zzz,123,TP1,12/1/2017,12/31/2017,79.99,37,1,42.99,6142.5504,1810.040951,7118.337276,0,2806.340256,6122.037972,2,96,,0,0,96,209,H2,Q3,109133,2,2
1010,34731,zzz,123,TP1,12/1/2017,12/31/2017,79.99,35,1,44.99,9789.6897,2884.752766,11344.85003,0,6261.646696,7967.956104,1,153,,0,0,153,209,H2,Q3,109134,1,1
1010,34732,zzz,123,TP1,12/1/2017,12/31/2017,79.99,44,1,35.99,22842.6093,6731.089787,26471.31675,0,14610.50896,18591.89758,1,357,,0,0,357,209,H2,Q3,109135,1,1
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,209,H2,Q3,110469,2,2
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,209,H2,Q3,110470,2,2
1010,17740,zzz,123,TP1,10/1/2017,10/31/2017,79.99,44,1,35.99,31992.45,9427.296621,37074.67331,16456,20462.8977,9583.072235,1,500,374,,374,500,207,H2,Q3,110508,1,1
1010,23600,zzz,123,TP1,11/1/2017,11/30/2017,79.99,44,1,35.99,31992.45,9427.296621,37074.67331,13904,20462.8977,12135.07223,1,500,316,316,316,500,208,H2,Q3,110624,1,1
1010,23600,zzz,123,TP1,11/1/2017,11/30/2017,79.99,44,1,35.99,6398.49,1885.459324,7414.934663,6424,4092.57954,-1216.185553,1,100,,146,146,100,208,H2,Q3,110663,1,1
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,12796.98,3770.918648,14829.86933,90,8185.15908,10325.62889,1,200,151,3,3,200,209,H2,Q3,110674,1,1
1010,34725,zzz,123,TP1,12/1/2017,12/31/2017,79.99,30,1,49.99,12796.98,3770.918648,14829.86933,7530,8185.15908,2885.628894,1,200,246,251,251,200,209,H2,Q3,110675,1,1
1010,17038,zzz,123,TP1,9/1/2017,9/30/2017,79.99,35,1,44.99,17723.8173,5222.722328,20539.36902,9695,11336.44533,4730.646018,1,277,,,277,0,206,H1,Q2,110690,1,1
1010,17038,zzz,123,TP1,9/1/2017,9/30/2017,79.99,35,1,44.99,6334.5051,1866.604731,7340.785316,3465,4051.653745,1690.736303,1,99,,,99,0,206,H1,Q2,110693,1,1
1010,37314,zzz,123,TP1,1/1/2018,1/31/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,390,380.025243,439.0259753,3,13,,,13,13,210,H2,Q1,112166,3,3
1010,37315,zzz,123,TP1,1/1/2018,1/31/2018,79.99,37,1,42.99,1983.5319,584.4923905,2298.629745,0,906.214041,1976.908095,3,31,,0,0,31,210,H2,Q1,112167,3,3
